id;num_tombamento;denominacao;id_marca_produto;id_material;id_unidade_resp_atual;valor;data_inicio_uso;ano_balanco
189118;1040697;LIVRO: TUDO O UE VOCÃŠ PRECISA SABER SOBRE FILOSOFIA - DE PLATÃƒO E SOCRÃTES DE Ã‰TICA E MATAFÃSICA ATÃ‰ AS IDEIAS QUE AINDA TRANSFORMAM O MUNDO O LIVRO  ESSESNCIAL SOBRE O PENSAMENTO HUMANO - EDITORA GENTE - 11Âº EDIÃ‡ÃƒO - PAUL KLEINMAN. ;30668;3553;348;17.630.000;07/06/2019;2019
189117;1040696;LIVRO: PEDAGOGIA (IMPROVÃVEL) DA DIFERENÃ‡A E SE O OUTRO NÃƒO ESTIVESSE AI? - CARLOS SKLIAR - EDITORA DP&A. ;30431;3553;348;28.320.000;07/06/2019;2019
189116;1040695;LIVRO: PECAR E PERDOAR - DEUS E O HOMEM NA HISTÃ“RIA - LEANDRO KARNAL  - EDITORA HARPER COLLINS .;33263;3553;348;20.640.000;07/06/2019;2019
189115;1040694;LIVRO: O MITO DA BELEZA - COMO AS IMAGENS DE BELEZA SÃƒO USADAS CONTRA AS MULHERES - NAOMI WOLF - 4Âº EDIÃ‡ÃƒO - ROSA DOS TEMPOS. ;33562;3553;348;41.360.000;07/06/2019;2019
189114;1040693;LIVRO: GÃŠNERO, FEMINISMO E RELIGIÃƒO - SOBRE UJM CAMPO EM CONSTITUIÃ‡ÃƒO - EDITORA GARAMOND UNIVERSITÃRIA. ;30664;3553;348;35.530.000;07/06/2019;2019
189113;1040692;LIVRO: EM BUSCA DE NÃ“S MESMOS - DIÃLOGOS SOBRE O SER HUMANO E SEU LUGAR NO UNIVERSO - CLÃ“VIS DE BARROS FILHO E PEDRO CALABREZ - CITADEL GRUPO EDITORIAL. ;30480;3553;348;26.540.000;07/06/2019;2019
189112;1040691;LIVRO: ALÃ‰M DO BEM E DO MAL - TRADUÃ‡ÃƒO DE PAULO CÃ‰SAR DE SOUZA - FRIEDRICH NIETZSCHE - 18Âº REIMPRESSÃƒO - COMPANHIA DE BOLSO. ;30226;3553;348;17.630.000;07/06/2019;2019
189111;1040690;LIVRO: EDUCAÃ‡ÃƒO AMBIENTAL  - SOBRE PRINCÃPIOS, METODOLOGIAS E ATITUDES - 4Âº EDIÃ‡ÃƒO - EDITORA VOZES - VALDO BARCELOS. ;30937;3553;348;20.800.000;07/06/2019;2019
189110;1040689;LIVRO: EDUCAÃ‡ÃƒO AMBIENTAL  - SOBRE PRINCÃPIOS, METODOLOGIAS E ATITUDES - 4Âº EDIÃ‡ÃƒO - EDITORA VOZES - VALDO BARCELOS. ;30937;3553;348;20.800.000;07/06/2019;2019
189109;1040688;LIVRO: EDUCAÃ‡ÃƒO AMBIENTAL  - SOBRE PRINCÃPIOS, METODOLOGIAS E ATITUDES - 4Âº EDIÃ‡ÃƒO - EDITORA VOZES - VALDO BARCELOS. ;30937;3553;348;20.800.000;07/06/2019;2019
